PLAYER_NAME,TEAM,POSITION,PLAYER_STATUS,GP*,BYE,FANTASY_POINTS,PRESEASON_RANKING,ACTUAL_RANKING,%_ROSTERED,PASSING_YDS,PASSING_TD,PASSING_INT,RUSHING_ATT,RUSHING_YDS,RUSHING_TD,RECEPTIONS,RECEIVING_YDS,RECEIVING_TD,TARGETS,RET_TD,2PT_CONVERSIONS,FUMBLES_LOST
Rashid Shaheed,NO,WR,Q,18,11,137.01,153,153,35%,0,0,0,11.2,82.9,1.1,51.1,654,4.5,80.8,1.1,0,1.1
Adam Thielen,Car,WR,A,18,7,134.99,141,141,54%,0,0,0,0,0,0,66.0,722,5.3,101,0,0,1.1
Elijah Moore,Cle,WR,A,18,5,134.83,106,106,62%,0,0,0,8.5,60.1,0,59.6,720,4.8,89.7,0,0,1.0
Rondale Moore,Ari,WR,A,18,14,131.70,139,139,42%,0,0,0,12.8,86.1,1.0,64.5,633,3.9,96.9,0,0,1.0
Khalil Shakir,Buf,WR,A,18,13,130.20,234,234,9%,0,0,0,2.5,15.2,0,54.4,710,5.1,86.2,0,0,0
D'Onta Foreman,Chi,RB,A,18,13,129.93,114,114,71%,0,0,0,183,801,5.2,16.3,125,0.0,21.6,0,0,1.0
Raheem Mostert,Mia,RB,A,18,10,128.76,133,133,55%,0,0,0,149,683,4.6,22.6,172,1.1,28.8,0,0,1.1
Samaje Perine,Den,RB,A,18,9,127.36,108,108,80%,0,0,0,129,533,3.7,38.2,283,1.1,49.1,0,0,0.9
Curtis Samuel,Was,WR,A,18,14,126.49,177,177,16%,0,0,0,22.8,127,1.1,57.6,589,3.3,82.5,0,0,0
Donovan Peoples-Jones,Cle,WR,A,18,5,125.59,159,159,37%,0,0,0,2.2,11.0,0,49.4,735,4.4,80.8,0,1.1,1.1
Michael Gallup,Dal,WR,A,18,7,124.03,145,145,38%,0,0,0,0,0,0,54.7,709,4.3,89.7,0,0,0
Romeo Doubs,GB,WR,A,18,6,122.25,165,165,40%,0,0,0,1.0,5.2,0,53.9,636,5.2,81.6,0,0,0
Jerick McKinnon,KC,RB,A,17,10,121.71,142,142,65%,0,0,0,47.6,211,2.1,56.1,399,3.7,66.3,0,0,1.2
Alexander Mattison,Min,RB,A,18,13,120.21,62,62,92%,0,0,0,138,592,4.6,24.6,182,0.8,31.9,0,0,0.7
Alec Pierce,Ind,WR,A,18,11,119.23,209,209,15%,0,0,0,1.0,5.8,0,48.1,660,4.8,80.8,0,0,0
Wan'Dale Robinson,NYG,WR,Q,18,13,118.06,178,178,12%,0,0,0,17.7,97.9,1.0,50.0,583,3.1,74.6,0,0,0
Parris Campbell,NYG,WR,A,18,13,117.59,230,230,9%,0,0,0,9.8,55.6,0,57.8,632,3.3,88,0,0,0
Jayden Reed,GB,WR,A,17,6,115.25,168,168,12%,0,0,0,0,0,0,57.1,614,4.2,87.8,0,0,0
Devin Singletary,Hou,RB,A,18,7,114.79,130,130,49%,0,0,0,133,539,4.1,26.6,199,0.9,38.1,0,0,1.0
DJ Chark Jr.,Car,WR,A,18,7,114.38,144,144,36%,0,0,0,0,0,0,47.9,660,4.1,84.6,0,0,0
Marvin Mims Jr.,Den,WR,A,17,9,114.08,228,228,5%,0,0,0,1.1,12.7,0,49.7,626,4.2,82.4,0,0,0
Marvin Jones Jr.,Det,WR,A,18,9,113.80,313,313,4%,0,0,0,0,0,0,52.9,615,4.3,86.1,0,0,0
Jonathan Mingo,Car,WR,A,17,7,113.37,166,166,30%,0,0,0,3.0,16.7,0,53.2,623,3.8,89.2,0,0,0
K.J. Osborn,Min,WR,A,18,13,113.14,198,198,15%,0,0,0,1.0,7.9,0,52.4,623,4.0,83.2,0,0,0
Cole Kmet,Chi,TE,A,18,13,111.43,119,119,85%,0,0,0,0,0,0,56.2,583,4.2,84.3,0,0,0
Michael Carter,NYJ,RB,A,18,7,111.04,172,172,28%,0,0,0,112,476,3.0,29.6,222,1.5,38,0,0,0.1
Robert Woods,Hou,WR,A,18,7,109.86,269,269,5%,0,0,0,7.9,46.6,0,55.6,596,3.0,85.9,0,0,0
Dalton Schultz,Hou,TE,A,18,7,109.56,140,140,84%,0,0,0,0,0,0,55.7,570,4.1,86.1,0,0,0
Tank Bigsby,Jax,RB,A,17,9,109.50,203,203,26%,0,0,0,113,478,4.8,23.2,167,1.2,27.6,0,0,1.2
Chuba Hubbard,Car,RB,A,18,7,109.31,152,152,20%,0,0,0,129,533,4.2,22.1,163,0.9,28.8,0,0,1.0
Jalin Hyatt,NYG,WR,A,17,13,109.04,231,231,7%,0,0,0,1,9.9,0,49.3,591,4.1,81.7,0,0,0
Nico Collins,Hou,WR,A,18,7,108.89,113,113,54%,0,0,0,0,0,0,51.8,644,3.1,91.8,0,0,0
Greg Dulcich,Den,TE,A,18,9,108.55,110,110,83%,0,0,0,0,0,0,57.3,590,3.5,87.9,0,0,0
Gerald Everett,LAC,TE,A,18,5,108.45,151,151,61%,0,0,0,0,0,0,52.3,539,4.7,77.6,0,0,0
Marquez Valdes-Scantling,KC,WR,A,18,10,107.27,195,195,12%,0,0,0,0,0,0,40.2,639,3.9,68.7,0,0,0
Corey Davis,NYJ,WR,A,18,7,107.27,249,249,4%,0,0,0,0,0,0,41.1,595,4.5,70.4,0,0,0
Chase Claypool,Chi,WR,Q,18,13,105.85,257,257,6%,0,0,0,9.7,53.0,1.0,41.1,543,3.2,70,0,0,0
Chigoziem Okonkwo,Ten,TE,A,18,7,104.72,111,111,82%,0,0,0,0,0,0,49.1,551,4.2,73.5,0,0,0
Michael Mayer,LV,TE,A,17,13,103.29,214,214,22%,0,0,0,0,0,0,47.8,516,4.6,69.5,0,0,0
Hunter Renfrow,LV,WR,A,18,13,103.21,180,180,12%,0,0,0,4.3,18.5,0,53.3,548,3.3,74,0,0,0
Braxton Berrios,Mia,WR,A,18,10,102.34,329,329,1%,0,0,0,13.9,72.5,1.5,41.7,431,3.0,59.2,1.1,0,1.5
Richie James,KC,WR,A,18,10,102.11,291,291,3%,0,0,0,1.8,5.5,0,48.4,552,3.7,65.2,0,0,0
Darius Slayton,NYG,WR,A,18,13,102.05,250,250,5%,0,0,0,2.1,12.5,0,40.6,611,3.2,76.7,0,0,0
Hayden Hurst,Car,TE,A,18,7,101.31,224,224,16%,0,0,0,0,0,0,52.3,534,3.6,79,0,0,0
John Metchie III,Hou,WR,Q,18,7,100.81,238,238,7%,0,0,0,0,0,0,46.9,558,3.6,76.8,0,0,0
Josh Downs,Ind,WR,Q,17,11,100.39,233,233,3%,0,0,0,5.6,25.3,0,48.3,563,2.9,75.4,0,0,0
Sam LaPorta,Det,TE,A,17,9,100.17,149,149,58%,0,0,0,0,0,0,49.3,534,3.7,71.6,0,0,0
Tyquan Thornton,NE,WR,A,18,11,98.77,196,196,7%,0,0,0,1.1,9.7,0,43.0,570,3.2,75.1,0,0,0
Isaiah Hodgins,NYG,WR,A,18,13,98.68,200,200,9%,0,0,0,1.0,5.0,0,48.0,558,3.1,68.6,0,0,0
Allen Robinson II,Pit,WR,Q,18,6,98.43,184,184,7%,0,0,0,0,0,0,48.2,528,3.6,73.5,0,0,0
Tyler Higbee,LAR,TE,A,18,10,98.01,143,143,63%,0,0,0,0,0,0,52.5,521,3.3,78.9,0,0,0
Dalton Kincaid,Buf,TE,A,17,13,97.45,146,146,75%,0,0,0,0,0,0,45.0,482,4.5,65.1,0,0,0
Dawson Knox,Buf,TE,Q,18,13,95.89,154,154,56%,0,0,0,0,0,0,43.1,478,4.4,59.2,0,0,0
DeVante Parker,NE,WR,A,18,11,95.32,252,252,4%,0,0,0,0,0,0,41.3,561,3.1,70,0,0,0
Van Jefferson,LAR,WR,A,18,10,95.18,218,218,9%,0,0,0,1.0,7.8,0,44.9,543,2.9,73.6,0,0,0
Clyde Edwards-Helaire,KC,RB,A,18,10,94.69,150,150,26%,0,0,0,88.9,396,3.4,20.8,158,1.4,25.1,0,0,0
Jeff Wilson Jr.,Mia,RB,A,18,10,93.59,122,122,55%,0,0,0,98.7,426,3.1,22.1,166,1.1,28.6,0,0,1.0
Tank Dell,Hou,WR,A,17,7,92.20,2072,2072,4%,0,0,0,1.1,8.5,0,51.2,528,2.2,77.1,0,0,0
Kendrick Bourne,NE,WR,A,18,11,90.79,292,292,1%,0,0,0,8.1,47.0,0,38.9,476,3.2,57.4,0,0,0
Kalif Raymond,Det,WR,A,18,9,90.49,1707,1707,1%,0,0,0,4.3,27.2,0,40.0,443,2.8,59.2,1.1,0,0
